ResponseId,survey_year,primary_affiliation,commute_miles,calculated_distance_mi,days_walk,days_bike,days_drive_alone,days_carpool,days_bus,days_other,weekly_trips,carpool_occupants,parking_location,cross_streets,university_residence,gender,ethnicity,lives_in_university_housing,enrollment_status,age,yearly_home_trips,vehicle_type,student_classification,campus_location,permanent_zipcode,parking_permit,home_travel_mode,latitude,longitude
R_7hmBNZN0NnS894b,2024,Student,1.0,,1,0,0,0,5,0,6,,Hourly pay parking on campus,,Lewis & Clark Villages,Female,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,1-2,,Junior,Mountain Campus (Main Campus),59801,,Car (alone),,
R_1ZDLr6VqHHVYISt,2024,Student,3.0,3.307193836593768,0,0,3,0,0,0,3,,On-street parking close to campus that does not require a UM permit,Otis and Shakespeare,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,17-24,1-2,Gas - SUV,Graduate Student,Mountain Campus (Main Campus),,,Plane,46.89153,-114.0093
R_3ls0XQd4LXARRt7,2024,Student,5.0,9.12953448797569,0,0,3,0,0,0,3,,Permit parking on campus,Grant creek and Elyn loop,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Part-time,17-24,,Gas - SUV,Sophomore,Mountain Campus (Main Campus),,Student: Half Year,,46.95681,-114.00744
R_3sQak3PWbv0vWjD,2024,Student,0.5,,0,5,0,0,0,0,5+,,Do not drive to campus,Kiwanis and Front street,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,17-24,,,Graduate Student,Mountain Campus (Main Campus),,,,,
R_1jm7N9cGWSj7vJ9,2024,Student,0.7,0.9613287741364853,0,0,0,0,5,0,5,,Permit parking on campus,East Front St & Washington ,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,25-29,11 or more,,Graduate Student,Mountain Campus (Main Campus),,,Car (alone),46.86942,-113.99174
R_5TZhfJwJFb9wwtg,2024,Student,1.0,,0,5,0,0,0,0,5,,Do not drive to campus,,Lewis & Clark Villages,Male,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,,,Graduate Student,Mountain Campus (Main Campus),,,,,
R_6qWBIthC1dIqUlF,2024,Student,1.0,,0,4,0,0,0,0,6,,Hourly pay parking on campus,,Elliot Villages,Male,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,,,Junior,Mountain Campus (Main Campus),59801,,,,
R_30Toebu8AizBJll,2024,Faculty,3.0,2.3907040411383558,0,0,4,0,0,0,4,,Permit parking on campus,Wyoming & Russel,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,40-49,,Electric hybrid,,Mountain Campus (Main Campus),,Faculty / Staff,,46.87193,-114.01851
R_7pGwn8W3VgyRw4F,2024,Student,0.1,,0,5,0,0,0,0,15,,Do not drive to campus,,Helena Court,Female,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,,,Senior,Mountain Campus (Main Campus),59801,,,,
R_1EsnCWpLCNhkG3u,2024,Student,0.75,0.983015902617905,5,0,0,0,0,0,5,,Do not drive to campus,Front & Clay,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,17-24,1-2,,Senior,Mountain Campus (Main Campus),,,Plane,46.8695,-113.99227
R_3FPusZG14MtYOWx,2024,Student,1.0,1.4735621859812746,0,0,5,0,0,0,5,,Permit parking on campus,cregg and orange,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,17-24,11 or more,Gas - SUV,Graduate Student,Mountain Campus (Main Campus),,Student: Half Year,Car (alone),46.87046,-114.00271
R_7ghb4zzl25NonTE,2024,Staff,1.25,,3,0,0,0,2,0,4,,Do not drive to campus,S 2nd St W & Orange,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,50-59,,,,Mountain Campus (Main Campus),,,,,
R_7O6ofB5zUWr9zqL,2024,Student,1.0,,6,0,0,0,0,0,12,,Do not drive to campus,,Residence Hall on campus,Female,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,3-5,,Freshman,Mountain Campus (Main Campus),,,Carpool with others from UM,,
